seed,nodes,E_total_sum(J),E_total_avg_per_node(J),P_avg_per_node(mW),RDC_avg(%)
10,30.0,103.212134,3.440404,1.024,5.09
11,30.0,105.023403,3.50078,1.042,5.12
12,30.0,106.279168,3.542639,1.055,5.16
13,30.0,98.910947,3.297032,0.981,4.96
14,30.0,106.632176,3.554406,1.058,5.16
15,30.0,103.815623,3.460521,1.03,5.11
16,30.0,100.090685,3.336356,0.993,5.02
17,30.0,105.116006,3.503867,1.043,5.12
18,30.0,103.530875,3.451029,1.027,5.08
19,30.0,102.091226,3.403041,1.013,5.04
1,30.0,105.671383,3.522379,1.048,5.15
20,30.0,104.377629,3.479254,1.036,5.11
2,30.0,107.169278,3.572309,1.063,5.16
3,30.0,102.861946,3.428732,1.021,5.08
4,30.0,108.678162,3.622605,1.078,5.21
5,30.0,100.828144,3.360938,1.0,5.03
6,30.0,104.606348,3.486878,1.038,5.12
7,30.0,99.280393,3.309346,0.985,5.0
8,30.0,102.560635,3.418688,1.018,5.06
9,30.0,91.305925,3.043531,0.906,4.82
AVG,30.0,103.1021043,3.43673675,1.02295,5.08
